"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","CPI","TOT","AGRWTH","M","2021-06",2.765388,
"CZE","CPI","TOT","AGRWTH","M","2021-07",3.374778,
"CZE","CPI","TOT","AGRWTH","M","2021-08",4.085258,
"CZE","CPI","TOT","AGRWTH","M","2021-09",4.915103,
"CZE","CPI","TOT","AGRWTH","M","2021-10",5.798394,
"CZE","CPI","TOT","AGRWTH","M","2021-11",5.976807,
"CZE","CPI","TOT","AGRWTH","M","2021-12",6.613048,
"CZE","CPI","TOT","AGRWTH","M","2022-01",9.876543,
"CZE","CPI","TOT","AGRWTH","M","2022-02",11.09155,
"CZE","CPI","TOT","AGRWTH","M","2022-03",12.74165,
"CZE","CPI","TOT","AGRWTH","M","2022-04",14.16084,
"CZE","CPI","TOT","AGRWTH","M","2022-05",15.96859,
"CZE","CPI","TOT","AGRWTH","M","2022-06",17.1875,
"CZE","CPI","TOT","AGRWTH","M","2022-07",17.52577,
"CZE","CPI","TOT","AGRWTH","M","2022-08",17.23549,
"DNK","CPI","TOT","AGRWTH","M","2019-10",0.5842259,
"DNK","CPI","TOT","AGRWTH","M","2019-11",0.6835938,
"DNK","CPI","TOT","AGRWTH","M","2019-12",0.7835456,
"DNK","CPI","TOT","AGRWTH","M","2020-01",0.684262,
"DNK","CPI","TOT","AGRWTH","M","2020-02",0.7782101,
"DNK","CPI","TOT","AGRWTH","M","2020-03",0.3887269,
"DNK","CPI","TOT","AGRWTH","M","2020-04",0,
"DNK","CPI","TOT","AGRWTH","M","2020-05",0,
"DNK","CPI","TOT","AGRWTH","M","2020-06",0.2915452,
"DNK","CPI","TOT","AGRWTH","M","2020-07",0.4830918,
"DNK","CPI","TOT","AGRWTH","M","2020-08",0.484966,
"DNK","CPI","TOT","AGRWTH","M","2020-09",0.5830904,
"DNK","CPI","TOT","AGRWTH","M","2020-10",0.3872217,
"DNK","CPI","TOT","AGRWTH","M","2020-11",0.484966,
"DNK","CPI","TOT","AGRWTH","M","2020-12",0.4859087,
"DNK","CPI","TOT","AGRWTH","M","2021-01",0.5825243,
"DNK","CPI","TOT","AGRWTH","M","2021-02",0.5791506,
"DNK","CPI","TOT","AGRWTH","M","2021-03",0.9680542,
"DNK","CPI","TOT","AGRWTH","M","2021-04",1.453488,
"DNK","CPI","TOT","AGRWTH","M","2021-05",1.745878,
"DNK","CPI","TOT","AGRWTH","M","2021-06",1.744186,
"DNK","CPI","TOT","AGRWTH","M","2021-07",1.634615,
"DNK","CPI","TOT","AGRWTH","M","2021-08",1.833977,
"DNK","CPI","TOT","AGRWTH","M","2021-09",2.222222,
"DNK","CPI","TOT","AGRWTH","M","2021-10",2.989393,
"DNK","CPI","TOT","AGRWTH","M","2021-11",3.378378,
"DNK","CPI","TOT","AGRWTH","M","2021-12",3.094778,
"DNK","CPI","TOT","AGRWTH","M","2022-01",4.343629,
"DNK","CPI","TOT","AGRWTH","M","2022-02",4.798464,
"DNK","CPI","TOT","AGRWTH","M","2022-03",5.369128,
"DNK","CPI","TOT","AGRWTH","M","2022-04",6.685769,
"DNK","CPI","TOT","AGRWTH","M","2022-05",7.435653,
"DNK","CPI","TOT","AGRWTH","M","2022-06",8.190476,
"DNK","CPI","TOT","AGRWTH","M","2022-07",8.703879,
"DNK","CPI","TOT","AGRWTH","M","2022-08",8.909952,
"FIN","CPI","TOT","AGRWTH","M","2019-10",0.7486631,
"FIN","CPI","TOT","AGRWTH","M","2019-11",0.6710104,
"FIN","CPI","TOT","AGRWTH","M","2019-12",0.9151981,
"FIN","CPI","TOT","AGRWTH","M","2020-01",0.9871958,
"FIN","CPI","TOT","AGRWTH","M","2020-02",0.8463035,
"FIN","CPI","TOT","AGRWTH","M","2020-03",0.6027024,
"FIN","CPI","TOT","AGRWTH","M","2020-04",-0.318933,
"FIN","CPI","TOT","AGRWTH","M","2020-05",-0.1645851,
"FIN","CPI","TOT","AGRWTH","M","2020-06",-0.03869969,
"FIN","CPI","TOT","AGRWTH","M","2020-07",0.5917734,
"FIN","CPI","TOT","AGRWTH","M","2020-08",0.2028985,
"FIN","CPI","TOT","AGRWTH","M","2020-09",0.1641878,
"FIN","CPI","TOT","AGRWTH","M","2020-10",0.1833623,
"FIN","CPI","TOT","AGRWTH","M","2020-11",0.2125193,
"FIN","CPI","TOT","AGRWTH","M","2020-12",0.2315485,
"FIN","CPI","TOT","AGRWTH","M","2021-01",0.8904375,
"FIN","CPI","TOT","AGRWTH","M","2021-02",0.9163693,
"FIN","CPI","TOT","AGRWTH","M","2021-03",1.333462,
"FIN","CPI","TOT","AGRWTH","M","2021-04",2.055459,
"FIN","CPI","TOT","AGRWTH","M","2021-05",2.230411,
"FIN","CPI","TOT","AGRWTH","M","2021-06",1.974448,
"FIN","CPI","TOT","AGRWTH","M","2021-07",1.948115,
"FIN","CPI","TOT","AGRWTH","M","2021-08",2.169511,
"FIN","CPI","TOT","AGRWTH","M","2021-09",2.487706,
"FIN","CPI","TOT","AGRWTH","M","2021-10",3.159619,
"FIN","CPI","TOT","AGRWTH","M","2021-11",3.691922,
"FIN","CPI","TOT","AGRWTH","M","2021-12",3.465204,
"FIN","CPI","TOT","AGRWTH","M","2022-01",4.37452,
"FIN","CPI","TOT","AGRWTH","M","2022-02",4.530683,
"FIN","CPI","TOT","AGRWTH","M","2022-03",5.797654,
"FIN","CPI","TOT","AGRWTH","M","2022-04",5.738172,
"FIN","CPI","TOT","AGRWTH","M","2022-05",6.962626,
"FIN","CPI","TOT","AGRWTH","M","2022-06",7.792331,
"FIN","CPI","TOT","AGRWTH","M","2022-07",7.785451,
"FIN","CPI","TOT","AGRWTH","M","2022-08",7.616082,
"FRA","CPI","TOT","AGRWTH","M","2019-10",0.7620334,
"FRA","CPI","TOT","AGRWTH","M","2019-11",1.034316,
"FRA","CPI","TOT","AGRWTH","M","2019-12",1.45936,
"FRA","CPI","TOT","AGRWTH","M","2020-01",1.485293,
"FRA","CPI","TOT","AGRWTH","M","2020-02",1.426354,
"FRA","CPI","TOT","AGRWTH","M","2020-03",0.6737896,
"FRA","CPI","TOT","AGRWTH","M","2020-04",0.326233,
"FRA","CPI","TOT","AGRWTH","M","2020-05",0.3642289,
"FRA","CPI","TOT","AGRWTH","M","2020-06",0.2008032,
"FRA","CPI","TOT","AGRWTH","M","2020-07",0.7760108,
"FRA","CPI","TOT","AGRWTH","M","2020-08",0.2193401,
"FRA","CPI","TOT","AGRWTH","M","2020-09",0.04784689,
"FRA","CPI","TOT","AGRWTH","M","2020-10",0.04786521,
"FRA","CPI","TOT","AGRWTH","M","2020-11",0.2009185,
"FRA","CPI","TOT","AGRWTH","M","2020-12",-0.01905125,
"FRA","CPI","TOT","AGRWTH","M","2021-01",0.5548115,
"FRA","CPI","TOT","AGRWTH","M","2021-02",0.5644313,
"FRA","CPI","TOT","AGRWTH","M","2021-03",1.109093,
"FRA","CPI","TOT","AGRWTH","M","2021-04",1.243305,
"FRA","CPI","TOT","AGRWTH","M","2021-05",1.422978,
"FRA","CPI","TOT","AGRWTH","M","2021-06",1.479149,
"FRA","CPI","TOT","AGRWTH","M","2021-07",1.150299,
"FRA","CPI","TOT","AGRWTH","M","2021-08",1.865068,
"FRA","CPI","TOT","AGRWTH","M","2021-09",2.161645,
"FRA","CPI","TOT","AGRWTH","M","2021-10",2.621759,
"FRA","CPI","TOT","AGRWTH","M","2021-11",2.778574,
"FRA","CPI","TOT","AGRWTH","M","2021-12",2.75343,
"FRA","CPI","TOT","AGRWTH","M","2022-01",2.853881,
"FRA","CPI","TOT","AGRWTH","M","2022-02",3.633942,
"FRA","CPI","TOT","AGRWTH","M","2022-03",4.482269,
"FRA","CPI","TOT","AGRWTH","M","2022-04",4.82713,
"FRA","CPI","TOT","AGRWTH","M","2022-05",5.19774,
"FRA","CPI","TOT","AGRWTH","M","2022-06",5.839759,
"FRA","CPI","TOT","AGRWTH","M","2022-07",6.080827,
"FRA","CPI","TOT","AGRWTH","M","2022-08",5.913125,
"DEU","CPI","TOT","AGRWTH","M","2019-10",1.143947,
"DEU","CPI","TOT","AGRWTH","M","2019-11",1.055662,
"DEU","CPI","TOT","AGRWTH","M","2019-12",1.535509,
"DEU","CPI","TOT","AGRWTH","M","2020-01",1.740812,
"DEU","CPI","TOT","AGRWTH","M","2020-02",1.734104,
"DEU","CPI","TOT","AGRWTH","M","2020-03",1.439539,
"DEU","CPI","TOT","AGRWTH","M","2020-04",0.8555133,
"DEU","CPI","TOT","AGRWTH","M","2020-05",0.5692599,
"DEU","CPI","TOT","AGRWTH","M","2020-06",0.8514664,
"DEU","CPI","TOT","AGRWTH","M","2020-07",-0.09416196,
"DEU","CPI","TOT","AGRWTH","M","2020-08",0,
"DEU","CPI","TOT","AGRWTH","M","2020-09",-0.1886792,
"DEU","CPI","TOT","AGRWTH","M","2020-10",-0.1885014,
"DEU","CPI","TOT","AGRWTH","M","2020-11",-0.2849003,
"DEU","CPI","TOT","AGRWTH","M","2020-12",-0.2835539,
"DEU","CPI","TOT","AGRWTH","M","2021-01",1.045627,
"DEU","CPI","TOT","AGRWTH","M","2021-02",1.325758,
"DEU","CPI","TOT","AGRWTH","M","2021-03",1.702933,
"DEU","CPI","TOT","AGRWTH","M","2021-04",1.979265,
"DEU","CPI","TOT","AGRWTH","M","2021-05",2.54717,
"DEU","CPI","TOT","AGRWTH","M","2021-06",2.345216,
"DEU","CPI","TOT","AGRWTH","M","2021-07",3.770028,
"DEU","CPI","TOT","AGRWTH","M","2021-08",3.867924,
"DEU","CPI","TOT","AGRWTH","M","2021-09",4.064272,
"DEU","CPI","TOT","AGRWTH","M","2021-10",4.532578,
"DEU","CPI","TOT","AGRWTH","M","2021-11",5.238095,
"DEU","CPI","TOT","AGRWTH","M","2021-12",5.308057,
"DEU","CPI","TOT","AGRWTH","M","2022-01",4.891816,
"DEU","CPI","TOT","AGRWTH","M","2022-02",5.140187,
"DEU","CPI","TOT","AGRWTH","M","2022-03",7.255814,
"DEU","CPI","TOT","AGRWTH","M","2022-04",7.393715,
"DEU","CPI","TOT","AGRWTH","M","2022-05",7.911684,
"DEU","CPI","TOT","AGRWTH","M","2022-06",7.607699,
"DEU","CPI","TOT","AGRWTH","M","2022-07",7.538601,
"DEU","CPI","TOT","AGRWTH","M","2022-08",7.901907,
"GRC","CPI","TOT","AGRWTH","M","2019-10",-0.7118279,
"GRC","CPI","TOT","AGRWTH","M","2019-11",0.2228283,
"GRC","CPI","TOT","AGRWTH","M","2019-12",0.7800957,
"GRC","CPI","TOT","AGRWTH","M","2020-01",0.8631724,
"GRC","CPI","TOT","AGRWTH","M","2020-02",0.2293238,
"GRC","CPI","TOT","AGRWTH","M","2020-03",-0.003773876,
"GRC","CPI","TOT","AGRWTH","M","2020-04",-1.435417,
"GRC","CPI","TOT","AGRWTH","M","2020-05",-1.142167,
"GRC","CPI","TOT","AGRWTH","M","2020-06",-1.569244,
"GRC","CPI","TOT","AGRWTH","M","2020-07",-1.808604,
"GRC","CPI","TOT","AGRWTH","M","2020-08",-1.908609,
"GRC","CPI","TOT","AGRWTH","M","2020-09",-1.982161,
"GRC","CPI","TOT","AGRWTH","M","2020-10",-1.767765,
"GRC","CPI","TOT","AGRWTH","M","2020-11",-2.065083,
"GRC","CPI","TOT","AGRWTH","M","2020-12",-2.320246,
"GRC","CPI","TOT","AGRWTH","M","2021-01",-1.96412,
"GRC","CPI","TOT","AGRWTH","M","2021-02",-1.268392,
"GRC","CPI","TOT","AGRWTH","M","2021-03",-1.63691,
"GRC","CPI","TOT","AGRWTH","M","2021-04",-0.2874938,
"GRC","CPI","TOT","AGRWTH","M","2021-05",0.1366552,
"GRC","CPI","TOT","AGRWTH","M","2021-06",1.028375,
"GRC","CPI","TOT","AGRWTH","M","2021-07",1.351097,
"GRC","CPI","TOT","AGRWTH","M","2021-08",1.878557,
"GRC","CPI","TOT","AGRWTH","M","2021-09",2.211804,
"GRC","CPI","TOT","AGRWTH","M","2021-10",3.413519,
"GRC","CPI","TOT","AGRWTH","M","2021-11",4.822838,
"GRC","CPI","TOT","AGRWTH","M","2021-12",5.114928,
"GRC","CPI","TOT","AGRWTH","M","2022-01",6.249706,
"GRC","CPI","TOT","AGRWTH","M","2022-02",7.214007,
"GRC","CPI","TOT","AGRWTH","M","2022-03",8.850036,
"GRC","CPI","TOT","AGRWTH","M","2022-04",10.17281,
"GRC","CPI","TOT","AGRWTH","M","2022-05",11.32933,
"GRC","CPI","TOT","AGRWTH","M","2022-06",12.09375,
"GRC","CPI","TOT","AGRWTH","M","2022-07",11.59072,
"GRC","CPI","TOT","AGRWTH","M","2022-08",11.40379,
"HUN","CPI","TOT","AGRWTH","M","2019-10",2.9,
"HUN","CPI","TOT","AGRWTH","M","2019-11",3.4,
"HUN","CPI","TOT","AGRWTH","M","2019-12",4,
"HUN","CPI","TOT","AGRWTH","M","2020-01",4.7,
"HUN","CPI","TOT","AGRWTH","M","2020-02",4.4,
"HUN","CPI","TOT","AGRWTH","M","2020-03",3.9,
"HUN","CPI","TOT","AGRWTH","M","2020-04",2.4,
"HUN","CPI","TOT","AGRWTH","M","2020-05",2.2,
"HUN","CPI","TOT","AGRWTH","M","2020-06",2.9,
"HUN","CPI","TOT","AGRWTH","M","2020-07",3.8,
"HUN","CPI","TOT","AGRWTH","M","2020-08",3.9,
"HUN","CPI","TOT","AGRWTH","M","2020-09",3.4,
"HUN","CPI","TOT","AGRWTH","M","2020-10",3,
"HUN","CPI","TOT","AGRWTH","M","2020-11",2.7,
"HUN","CPI","TOT","AGRWTH","M","2020-12",2.7,
"HUN","CPI","TOT","AGRWTH","M","2021-01",2.7,
"HUN","CPI","TOT","AGRWTH","M","2021-02",3.1,
"HUN","CPI","TOT","AGRWTH","M","2021-03",3.7,
"HUN","CPI","TOT","AGRWTH","M","2021-04",5.1,
"HUN","CPI","TOT","AGRWTH","M","2021-05",5.1,
"HUN","CPI","TOT","AGRWTH","M","2021-06",5.3,
"HUN","CPI","TOT","AGRWTH","M","2021-07",4.6,
"HUN","CPI","TOT","AGRWTH","M","2021-08",4.9,
"HUN","CPI","TOT","AGRWTH","M","2021-09",5.5,
"HUN","CPI","TOT","AGRWTH","M","2021-10",6.5,
"HUN","CPI","TOT","AGRWTH","M","2021-11",7.4,
"HUN","CPI","TOT","AGRWTH","M","2021-12",7.4,
"HUN","CPI","TOT","AGRWTH","M","2022-01",7.9,
"HUN","CPI","TOT","AGRWTH","M","2022-02",8.3,
"HUN","CPI","TOT","AGRWTH","M","2022-03",8.5,
"HUN","CPI","TOT","AGRWTH","M","2022-04",9.5,
"HUN","CPI","TOT","AGRWTH","M","2022-05",10.7,
"HUN","CPI","TOT","AGRWTH","M","2022-06",11.7,
"HUN","CPI","TOT","AGRWTH","M","2022-07",13.7,
"HUN","CPI","TOT","AGRWTH","M","2022-08",15.6,
"ISL","CPI","TOT","AGRWTH","M","2019-10",2.7844,
"ISL","CPI","TOT","AGRWTH","M","2019-11",2.655934,
"ISL","CPI","TOT","AGRWTH","M","2019-12",2.030462,
"ISL","CPI","TOT","AGRWTH","M","2020-01",1.698286,
"ISL","CPI","TOT","AGRWTH","M","2020-02",2.438648,
"ISL","CPI","TOT","AGRWTH","M","2020-03",2.130863,
"ISL","CPI","TOT","AGRWTH","M","2020-04",2.265598,
"ISL","CPI","TOT","AGRWTH","M","2020-05",2.576473,
"ISL","CPI","TOT","AGRWTH","M","2020-06",2.65082,
"ISL","CPI","TOT","AGRWTH","M","2020-07",3.023342,
"ISL","CPI","TOT","AGRWTH","M","2020-08",3.198588,
"ISL","CPI","TOT","AGRWTH","M","2020-09",3.503318,
"ISL","CPI","TOT","AGRWTH","M","2020-10",3.570388,
"ISL","CPI","TOT","AGRWTH","M","2020-11",3.492636,
"ISL","CPI","TOT","AGRWTH","M","2020-12",3.575357,
"ISL","CPI","TOT","AGRWTH","M","2021-01",4.29919,
"ISL","CPI","TOT","AGRWTH","M","2021-02",4.052501,
"ISL","CPI","TOT","AGRWTH","M","2021-03",4.336526,
"ISL","CPI","TOT","AGRWTH","M","2021-04",4.547324,
"ISL","CPI","TOT","AGRWTH","M","2021-05",4.443987,
"ISL","CPI","TOT","AGRWTH","M","2021-06",4.246248,
"ISL","CPI","TOT","AGRWTH","M","2021-07",4.262843,
"ISL","CPI","TOT","AGRWTH","M","2021-08",4.271329,
"ISL","CPI","TOT","AGRWTH","M","2021-09",4.351147,
"ISL","CPI","TOT","AGRWTH","M","2021-10",4.537301,
"ISL","CPI","TOT","AGRWTH","M","2021-11",4.843696,
"ISL","CPI","TOT","AGRWTH","M","2021-12",5.111876,
"ISL","CPI","TOT","AGRWTH","M","2022-01",5.684166,
"ISL","CPI","TOT","AGRWTH","M","2022-02",6.187761,
"ISL","CPI","TOT","AGRWTH","M","2022-03",6.66674,
"ISL","CPI","TOT","AGRWTH","M","2022-04",7.23057,
"ISL","CPI","TOT","AGRWTH","M","2022-05",7.589962,
"ISL","CPI","TOT","AGRWTH","M","2022-06",8.818589,
"ISL","CPI","TOT","AGRWTH","M","2022-07",9.929646,
"ISL","CPI","TOT","AGRWTH","M","2022-08",9.735205,
"IRL","CPI","TOT","AGRWTH","M","2019-10",0.6889764,
"IRL","CPI","TOT","AGRWTH","M","2019-11",1.088032,
"IRL","CPI","TOT","AGRWTH","M","2019-12",1.285856,
"IRL","CPI","TOT","AGRWTH","M","2020-01",1.294821,
"IRL","CPI","TOT","AGRWTH","M","2020-02",1.086957,
"IRL","CPI","TOT","AGRWTH","M","2020-03",0.6862745,
"IRL","CPI","TOT","AGRWTH","M","2020-04",-0.09765625,
"IRL","CPI","TOT","AGRWTH","M","2020-05",-0.4887586,
"IRL","CPI","TOT","AGRWTH","M","2020-06",-0.3902439,
"IRL","CPI","TOT","AGRWTH","M","2020-07",-0.3910069,
"IRL","CPI","TOT","AGRWTH","M","2020-08",-0.9727626,
"IRL","CPI","TOT","AGRWTH","M","2020-09",-1.169591,
"IRL","CPI","TOT","AGRWTH","M","2020-10",-1.466276,
"IRL","CPI","TOT","AGRWTH","M","2020-11",-1.076321,
"IRL","CPI","TOT","AGRWTH","M","2020-12",-0.9765625,
"IRL","CPI","TOT","AGRWTH","M","2021-01",-0.1966568,
"IRL","CPI","TOT","AGRWTH","M","2021-02",-0.3910069,
"IRL","CPI","TOT","AGRWTH","M","2021-03",0,
"IRL","CPI","TOT","AGRWTH","M","2021-04",1.075269,
"IRL","CPI","TOT","AGRWTH","M","2021-05",1.669941,
"IRL","CPI","TOT","AGRWTH","M","2021-06",1.567091,
"IRL","CPI","TOT","AGRWTH","M","2021-07",2.158979,
"IRL","CPI","TOT","AGRWTH","M","2021-08",2.848723,
"IRL","CPI","TOT","AGRWTH","M","2021-09",3.747535,
"IRL","CPI","TOT","AGRWTH","M","2021-10",5.059524,
"IRL","CPI","TOT","AGRWTH","M","2021-11",5.341246,
"IRL","CPI","TOT","AGRWTH","M","2021-12",5.522683,
"IRL","CPI","TOT","AGRWTH","M","2022-01",5.024631,
"IRL","CPI","TOT","AGRWTH","M","2022-02",5.593719,
"IRL","CPI","TOT","AGRWTH","M","2022-03",6.718598,
"IRL","CPI","TOT","AGRWTH","M","2022-04",6.96325,
"IRL","CPI","TOT","AGRWTH","M","2022-05",7.826087,
"IRL","CPI","TOT","AGRWTH","M","2022-06",9.06461,
