"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.621362281,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.691608792,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.23497788,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.716075905,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.756161768,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.775670171,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.68327424,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.59567517,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.819026666,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.77773761,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.8264551,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.021021411,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-1.340947317,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.238431161,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.31245075,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.776992759,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.097948727,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.057434453,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.88736584,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.767130074,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.712092153,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.506168663,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.862537915,
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.48725517,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.826255917,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.637933629,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.058975087,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.228663315,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.352205559,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.108188446,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.26529089,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.188858719,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.458973728,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.562541669,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.058881887,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.515919374,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.627127317,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.33106093,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.366306534,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.449957702,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.951359935,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.052124403,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.861347346,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.622314911,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.323035218,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.441347818,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.988728982,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.80124673,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.711846364,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.203518248,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.317008928,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.256907572,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.4,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.301414432,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-4.777202316,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.51540478,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.71677372,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.036181066,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.596868535,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",4.027028978,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.121159847,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.851570613,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.710270806,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.523923006,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.204315194,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.555562552,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.516174395,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.238841368,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.589262825,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.066362162,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.317358247,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.839275062,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.113577174,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.157302609,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.042537245,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.983958377,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.192421261,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.092953257,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.792048753,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.30781901,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.602575751,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.764951812,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.807113811,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.221200143,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.851950392,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.911785776,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q4",4.251784565,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.566100808,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.617639673,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.865873793,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.631489361,
"ARG","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.178956556,
"ARG","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.042620016,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.68723409,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.693831498,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",12.058701409,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.19106505,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.648343398,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.856263654,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.414069838,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",5.181409029,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.685958053,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.839279234,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.113185206,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.164252218,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.891597154,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.756287637,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.2232496,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.576814658,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.936605672,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.697654438,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.515349567,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.974483473,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.360867171,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.964624183,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.990937354,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.174789477,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.067717949,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.279217622,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.059429286,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.774884719,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.122360949,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.232528301,
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.463993963,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.870680126,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.219062679,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.018218768,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.066441466,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.805573301,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.51551489,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.689811869,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.439549364,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",2.557053646,"P"
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.175154201,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.484336154,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.854483117,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.963213279,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.542791999,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.707015905,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.656694491,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.69569402,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.410338185,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.144633973,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.85175315,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.232093868,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.060251957,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.42351287,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.363908344,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.795105687,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.404754681,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.394555184,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.425115701,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.45312472,
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.929646866,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.959203546,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.653574604,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.664940594,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.485801554,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.946832847,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.528952946,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.310567818,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.141910849,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.92437563,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.152524597,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.635739588,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.894648291,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.115091888,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.316718704,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.711408473,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.101912551,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.426565398,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.539076447,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.194181551,"P"
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.178253036,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.697381032,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.644978153,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.285174142,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.03339825,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.89536878,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.762215245,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",4.579067071,
"ISR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.687803301,
"ISR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.653167772,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.51983281,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.371752592,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",15.649317805,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.084647787,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.616659059,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.994956988,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.714482826,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.575638393,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.673924463,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",2.069927377,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.03223,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-23.88376,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q3",22.83832,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q4",7.99139,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.47955,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-10.02917,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q3",11.15474,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q4",4.98401,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-1.35343,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-1.43198,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.128191242,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.159536358,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.471122074,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.882721797,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.132691457,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.995772538,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.601859197,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.019222289,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.232752685,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.034345137,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.242594973,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.848739463,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.953208665,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.140550376,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.515754196,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.407038024,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.698836543,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.846832679,
"CZE","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.620574959,
"CZE","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.451313579,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.389982259,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.094721358,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.336525027,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.024028913,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.354336803,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.015798372,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.602233664,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.783124399,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.465744638,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-2.117853351,
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.422765492,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.481133512,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.004694909,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.621471543,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.468048603,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.928643933,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.785236875,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-0.02815511,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.798122004,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.139724847,"P"
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.635750337,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.894090562,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.256600997,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.422952227,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.026064608,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.330071138,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.242953955,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.627535396,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.15557538,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.00629666,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.223681934,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.626404747,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.319049789,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.288541476,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.971881707,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.594660189,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.268588614,
"LUX","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.719744404,
"LUX","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.68498461,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.531647771,"P"
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.000695682,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.094183366,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.764967337,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.696950399,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.822924303,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.387912495,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.801676582,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.369403562,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.74312424,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.736309355,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.196323318,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-4.485002074,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.7780786,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.739743224,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.680789326,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.190933741,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.794505895,
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.355487705,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-15.119496961,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q3",14.588001222,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.370563245,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-2.570385739,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.42474298,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.781923432,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.938735949,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.382822313,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.127234845,"P"
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.880248777,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.101330197,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",14.476293183,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.824781612,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.264262944,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.49039657,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.829770848,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.846427931,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.140863235,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.090838971,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.56578662,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.243785498,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.232721004,
